n_test	n_gallery_kos	recall@1	recall@10	recall@100	recall@1000	pct_partially_accurate	ranking_score	ndcg	median_rank_true	cell	fold	method	alpha
4742	3570	0.01581611134542387	0.061577393504850274	0.24820750738085195	0.7361872627583298	1.581611134542387	0.9328668751394268	0.14780136359992907	358.0	ES2	3	gallery_fuse	0.8101035356521606
4741	3580	0.004429445264712086	0.028685931238135415	0.1636785488293609	0.6197004851297194	0.44294452647120863	0.9114526264140561	0.12024309514037072	611.0	ES2	4	pearson_train_gallery	0.8066465258598328
4741	3580	0.018561484918793503	0.05758278844125712	0.20185614849187936	0.6321451170639105	1.8561484918793503	0.911442843826841	0.13940014484982244	586.0	ES2	4	gallery_dual	0.8066465258598328
4741	3580	0.017717781058848345	0.061801307740982914	0.26175912254798567	0.7452014342965619	1.7717781058848345	0.9320166482706788	0.14965651614404907	357.0	ES2	4	gallery_fuse	0.8066465258598328
4741	3574	0.005273149124657245	0.027420375448217675	0.16831892005905927	0.6294030795190888	0.5273149124657245	0.9137931054844766	0.1216091636291191	604.0	ES2	5	pearson_train_gallery	0.7796910405158997
4741	3574	0.018139632988820924	0.06475427125079097	0.21978485551571397	0.6614638261970048	1.8139632988820924	0.9181948366992914	0.1435125259430466	534.0	ES2	5	gallery_dual	0.7796910405158997
4741	3574	0.01898333684876608	0.07023834634043451	0.27610208816705334	0.7572242143007805	1.8983336848766084	0.9372034271886953	0.1541888402579344	326.0	ES2	5	gallery_fuse	0.7796910405158997
4105	3657	0.00243605359317905	0.01997563946406821	0.13471376370280147	0.6358099878197321	0.243605359317905	0.905183774737333	0.11441304031263405	625.0	HT29	1	pearson_train_gallery	0.6327509880065918
4105	3657	0.008038976857490865	0.03751522533495737	0.18660170523751524	0.6528623629719854	0.8038976857490865	0.9124724534533265	0.12719068006278703	550.0	HT29	1	gallery_dual	0.6327509880065918
4105	3657	0.0048721071863581	0.03678440925700365	0.21144945188794154	0.7237515225334957	0.48721071863581	0.924039525174145	0.13030635230224286	420.0	HT29	1	gallery_fuse	0.6327509880065918
4105	3651	0.002679658952496955	0.019732034104750305	0.14421437271619975	0.633373934226553	0.2679658952496955	0.9047803573515123	0.11509262660178417	614.0	HT29	2	pearson_train_gallery	0.6759558916091919
4105	3651	0.00779537149817296	0.040194884287454324	0.18587088915956151	0.6635809987819732	0.7795371498172959	0.9149094390938864	0.12801444565745085	537.0	HT29	2	gallery_dual	0.6759558916091919
4105	3651	0.006577344701583435	0.037758830694275276	0.22095006090133984	0.7193666260657734	0.6577344701583435	0.9244243243452139	0.13253394763700926	396.0	HT29	2	gallery_fuse	0.6759558916091919
4105	3659	0.00097442143727162	0.019732034104750305	0.13909866017052375	0.6241169305724726	0.09744214372716199	0.9046911763301794	0.1132787989452001	653.0	HT29	3	pearson_train_gallery	0.5944478511810303
4105	3659	0.008282582216808769	0.04141291108404385	0.17929354445797807	0.6194884287454324	0.8282582216808769	0.907013474677182	0.1259351585013959	622.0	HT29	3	gallery_dual	0.5944478511810303
4105	3659	0.00584652862362972	0.034835566382460416	0.21120584652862362	0.7088915956151035	0.584652862362972	0.9224468380633601	0.12985262148571228	456.0	HT29	3	gallery_fuse	0.5944478511810303
4105	3664	0.003166869671132765	0.01900121802679659	0.12935444579780755	0.6387332521315469	0.3166869671132765	0.906869825716233	0.11460294916971124	628.0	HT29	4	pearson_train_gallery	0.6305155754089355
4105	3664	0.007308160779537149	0.036053593179049936	0.1800243605359318	0.6472594397076735	0.730816077953715	0.912984124732491	0.1260415110099831	574.0	HT29	4	gallery_dual	0.6305155754089355
4105	3664	0.005602923264311815	0.03654080389768575	0.21144945188794154	0.725700365408039	0.5602923264311814	0.9259877997271146	0.13055716001309872	401.0	HT29	4	gallery_fuse	0.6305155754089355
4105	3652	0.00243605359317905	0.020706455542021926	0.13544457978075516	0.6214372716199756	0.243605359317905	0.9046374358421775	0.11477724527113548	638.0	HT29	5	pearson_train_gallery	0.705989420413971
4105	3652	0.00876979293544458	0.04190012180267966	0.1941534713763703	0.6764920828258222	0.876979293544458	0.9177171977290779	0.13088000390514648	497.0	HT29	5	gallery_dual	0.705989420413971
4105	3652	0.005602923264311815	0.037271619975639464	0.21851400730816078	0.715468940316687	0.5602923264311814	0.9252946974687867	0.13140532976413008	395.0	HT29	5	gallery_fuse	0.705989420413971
3755	3075	0.0015978695073235686	0.018641810918774968	0.11211717709720373	0.5946737683089215	0.15978695073235685	0.903844270846536	0.1109494898533248	715.0	MCF7	1	pearson_train_gallery	0.6535418033599854
3755	3075	0.00559254327563249	0.027430093209054592	0.18055925432756326	0.6921438082556591	0.559254327563249	0.9257868692185459	0.12579286236120835	520.0	MCF7	1	gallery_dual	0.6535418033599854
3755	3075	0.003195739014647137	0.029027962716378163	0.19067909454061252	0.7115845539280958	0.3195739014647137	0.9263296816140132	0.12539997673106595	474.0	MCF7	1	gallery_fuse	0.6535418033599854
3755	3076	0.0015978695073235686	0.01837549933422104	0.1051930758988016	0.5778961384820239	0.15978695073235685	0.9003980259740777	0.10903765008053806	776.0	MCF7	2	pearson_train_gallery	0.6177064776420593
3755	3076	0.0039946737683089215	0.02796271637816245	0.15339547270306259	0.6535286284953395	0.3994673768308921	0.9198828338375757	0.12053496926240052	589.0	MCF7	2	gallery_dual	0.6177064776420593
3755	3076	0.002663115845539281	0.02663115845539281	0.1715046604527297	0.6801597869507323	0.2663115845539281	0.9201819994641958	0.121376798011903	522.0	MCF7	2	gallery_fuse	0.6177064776420593
3755	3082	0.002929427430093209	0.017043941411451397	0.10945406125166444	0.5914780292942743	0.2929427430093209	0.9043363359243791	0.1107456017119353	736.0	MCF7	3	pearson_train_gallery	0.5052578449249268
3755	3082	0.0039946737683089215	0.028761651131824235	0.16884154460719042	0.6545938748335552	0.3994673768308921	0.919444796511209	0.12135905156726678	601.0	MCF7	3	gallery_dual	0.5052578449249268
3755	3082	0.005858854860186418	0.033288948069241014	0.17683089214380826	0.6948069241011984	0.5858854860186418	0.9224853859157057	0.1254773967294829	515.0	MCF7	3	gallery_fuse	0.5052578449249268
3755	3083	0.002396804260985353	0.013848202396804262	0.10838881491344873	0.5981358189081225	0.2396804260985353	0.905241188928635	0.11020455002844812	729.0	MCF7	4	pearson_train_gallery	0.6736136078834534
3755	3083	0.00559254327563249	0.027696404793608524	0.17576564580559254	0.6956058588548601	0.559254327563249	0.9274741802518877	0.1247675327602084	522.0	MCF7	4	gallery_dual	0.6736136078834534
3755	3083	0.002929427430093209	0.027430093209054592	0.18029294274300933	0.718508655126498	0.2929427430093209	0.9283873337478609	0.12464133951262288	450.0	MCF7	4	gallery_fuse	0.6736136078834534
3754	3079	0.002663825253063399	0.017314864144912095	0.10895045285029302	0.5860415556739478	0.2663825253063399	0.9016572194834904	0.10990386998880444	759.5	MCF7	5	pearson_train_gallery	0.653889536857605
3754	3079	0.003995737879595098	0.02850293020777837	0.17128396377197655	0.661427810335642	0.3995737879595099	0.921104187883304	0.12245033317794515	579.0	MCF7	5	gallery_dual	0.653889536857605
3754	3079	0.005327650506126798	0.02930207778369739	0.18034096963239213	0.6856686201385189	0.5327650506126798	0.9224302587877895	0.12523858733623736	510.5	MCF7	5	gallery_fuse	0.653889536857605
4246	3680	0.001413094677343382	0.010833725859632595	0.08596325953838907	0.5744229863400848	0.1413094677343382	0.8957758499886682	0.10516963790201216	821.0	PC3	1	pearson_train_gallery	0.6895603537559509
4246	3680	0.004474799811587376	0.024729156853509186	0.14884597268016958	0.6005652378709374	0.44747998115873766	0.9037920238304342	0.11676287133763791	709.0	PC3	1	gallery_dual	0.6895603537559509
4246	3680	0.0030617051342439945	0.025671219971738105	0.16085727743758832	0.6709844559585493	0.30617051342439944	0.9160231081507098	0.11965076461481232	545.5	PC3	1	gallery_fuse	0.6895603537559509
4246	3681	0.003297220913801225	0.01601507300989166	0.08902496467263307	0.5890249646726331	0.3297220913801225	0.8993910699519667	0.10823082046171005	784.5	PC3	2	pearson_train_gallery	0.6179860234260559
4246	3681	0.0011775788977861517	0.02143193593970796	0.13871879415920868	0.5847856806406029	0.11775788977861516	0.8997436623046577	0.11256975849549043	746.0	PC3	2	gallery_dual	0.6179860234260559
4246	3681	0.003532736693358455	0.025435704192180875	0.15803108808290156	0.6773433820065945	0.3532736693358455	0.9170337864484625	0.11995921366446452	550.5	PC3	2	gallery_fuse	0.6179860234260559
4246	3680	0.001413094677343382	0.015308525671219972	0.09326424870466321	0.5866698068770607	0.1413094677343382	0.8987688080756506	0.10700538452708064	805.0	PC3	3	pearson_train_gallery	0.6528890132904053
4246	3680	0.0023551577955723034	0.02166745171926519	0.14319359397079603	0.59609043805935	0.23551577955723033	0.9032714759358081	0.11384697731807439	720.5	PC3	3	gallery_dual	0.6528890132904053
4246	3680	0.0023551577955723034	0.024258125294394726	0.15332077249175693	0.6853509185115403	0.23551577955723033	0.9186618035603233	0.11936004606258362	555.0	PC3	3	gallery_fuse	0.6528890132904053
4246	3685	0.0009420631182289214	0.012246820536975978	0.09090909090909091	0.5631182289213378	0.09420631182289213	0.8947455673539085	0.10513724242749552	853.0	PC3	4	pearson_train_gallery	0.5933477878570557
4246	3685	0.004003768252472915	0.02119642016015073	0.13235986811116346	0.5647668393782384	0.40037682524729157	0.8973413617928525	0.11318638623988533	807.0	PC3	4	gallery_dual	0.5933477878570557
4246	3685	0.0037682524729156855	0.022845030617051343	0.15261422515308526	0.6544983513895432	0.3768252472915685	0.913133600303964	0.11856365734459504	587.5	PC3	4	gallery_fuse	0.5933477878570557
4245	3686	0.001177856301531213	0.012485276796230859	0.09705535924617197	0.5632508833922262	0.11778563015312132	0.8954117902580424	0.10567597452010181	844.0	PC3	5	pearson_train_gallery	0.6895908117294312
4245	3686	0.004004711425206125	0.02237926972909305	0.144640753828033	0.6148409893992933	0.4004711425206125	0.905934676678665	0.11548145182073763	677.0	PC3	5	gallery_dual	0.6895908117294312
4245	3686	0.003769140164899882	0.02237926972909305	0.15406360424028268	0.6760895170789164	0.37691401648998824	0.917329172365794	0.11966804356158321	553.0	PC3	5	gallery_fuse	0.6895908117294312
5265	3700	0.003988603988603989	0.028869895536562204	0.1606837606837607	0.6049382716049383	0.39886039886039887	0.9098583935338944	0.11958163296501406	667.0	U251MG	1	pearson_train_gallery	0.8488254547119141
5265	3700	0.019753086419753086	0.06324786324786325	0.2074074074074074	0.6512820512820513	1.9753086419753085	0.9152082586697492	0.14228613125278844	547.0	U251MG	1	gallery_dual	0.8488254547119141
5265	3700	0.019183285849952516	0.06856600189933523	0.26020892687559355	0.7532763532763532	1.9183285849952516	0.9350809131697523	0.1521216212455629	359.0	U251MG	1	gallery_fuse	0.8488254547119141
5265	3704	0.0049382716049382715	0.03114909781576448	0.157644824311491	0.610636277302944	0.49382716049382713	0.9102180194378775	0.12045688020721866	640.0	U251MG	2	pearson_train_gallery	0.8194376230239868
