true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
TRRAP	950	89	jurkat	Jurkat	1	0.4896809160709381	2372
POLR2K	242	4	jurkat	Jurkat	1	0.4896809160709381	2372
ATP6V1E1	148	11	jurkat	Jurkat	1	0.4896809160709381	2372
SPRTN	1790	1833	jurkat	Jurkat	1	0.4896809160709381	2372
HARS2	1872	1354	jurkat	Jurkat	1	0.4896809160709381	2372
EIF3J	1332	452	jurkat	Jurkat	1	0.4896809160709381	2372
ZCCHC9	53	51	jurkat	Jurkat	1	0.4896809160709381	2372
HIST1H2AI	356	891	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF100	797	49	jurkat	Jurkat	1	0.4896809160709381	2372
NCAPG2	168	109	jurkat	Jurkat	1	0.4896809160709381	2372
PSMC3	356	276	jurkat	Jurkat	1	0.4896809160709381	2372
INO80E	1730	1196	jurkat	Jurkat	1	0.4896809160709381	2372
CNN2	924	237	jurkat	Jurkat	1	0.4896809160709381	2372
SMG6	14	2	jurkat	Jurkat	1	0.4896809160709381	2372
TPT1	1847	549	jurkat	Jurkat	1	0.4896809160709381	2372
DYNLL1	108	44	jurkat	Jurkat	1	0.4896809160709381	2372
WDR70	510	29	jurkat	Jurkat	1	0.4896809160709381	2372
CPSF4	85	9	jurkat	Jurkat	1	0.4896809160709381	2372
DRG1	681	1089	jurkat	Jurkat	1	0.4896809160709381	2372
DDOST	1956	1829	jurkat	Jurkat	1	0.4896809160709381	2372
DDX41	74	25	jurkat	Jurkat	1	0.4896809160709381	2372
VARS	14	7	jurkat	Jurkat	1	0.4896809160709381	2372
PDCD6IP	1380	1364	jurkat	Jurkat	1	0.4896809160709381	2372
CSNK2B	619	253	jurkat	Jurkat	1	0.4896809160709381	2372
COX11	829	74	jurkat	Jurkat	1	0.4896809160709381	2372
RPL27A	20	31	jurkat	Jurkat	1	0.4896809160709381	2372
RPL24	645	5	jurkat	Jurkat	1	0.4896809160709381	2372
MRPS35	19	14	jurkat	Jurkat	1	0.4896809160709381	2372
CFDP1	836	802	jurkat	Jurkat	1	0.4896809160709381	2372
LPIN1	123	142	jurkat	Jurkat	1	0.4896809160709381	2372
CDC7	423	241	jurkat	Jurkat	1	0.4896809160709381	2372
HERC1	938	102	jurkat	Jurkat	1	0.4896809160709381	2372
FARS2	267	273	jurkat	Jurkat	1	0.4896809160709381	2372
ORC5	33	218	jurkat	Jurkat	1	0.4896809160709381	2372
PSMD4	2300	2276	jurkat	Jurkat	1	0.4896809160709381	2372
TRMT6	1612	1183	jurkat	Jurkat	1	0.4896809160709381	2372
BRIP1	1981	1727	jurkat	Jurkat	1	0.4896809160709381	2372
RPIA	187	276	jurkat	Jurkat	1	0.4896809160709381	2372
UFL1	13	3	jurkat	Jurkat	1	0.4896809160709381	2372
NUP88	6	1	jurkat	Jurkat	1	0.4896809160709381	2372
SUMO2	30	631	jurkat	Jurkat	1	0.4896809160709381	2372
DMAP1	36	23	jurkat	Jurkat	1	0.4896809160709381	2372
EXOSC10	79	176	jurkat	Jurkat	1	0.4896809160709381	2372
NPEPPS	1840	2099	jurkat	Jurkat	1	0.4896809160709381	2372
NASP	2280	2069	jurkat	Jurkat	1	0.4896809160709381	2372
SEC16A	1665	1107	jurkat	Jurkat	1	0.4896809160709381	2372
KDM2A	765	583	jurkat	Jurkat	1	0.4896809160709381	2372
COPS5	160	4	jurkat	Jurkat	1	0.4896809160709381	2372
PARN	677	203	jurkat	Jurkat	1	0.4896809160709381	2372
COX7B	1536	494	jurkat	Jurkat	1	0.4896809160709381	2372
ATIC	466	414	jurkat	Jurkat	1	0.4896809160709381	2372
DHODH	829	371	jurkat	Jurkat	1	0.4896809160709381	2372
CDC45	649	423	jurkat	Jurkat	1	0.4896809160709381	2372
UBE2H	2012	1096	jurkat	Jurkat	1	0.4896809160709381	2372
POLR3D	573	3	jurkat	Jurkat	1	0.4896809160709381	2372
ESYT2	273	154	jurkat	Jurkat	1	0.4896809160709381	2372
MRPS16	35	16	jurkat	Jurkat	1	0.4896809160709381	2372
ZNHIT2	1140	150	jurkat	Jurkat	1	0.4896809160709381	2372
POLD3	110	7	jurkat	Jurkat	1	0.4896809160709381	2372
INTS2	86	194	jurkat	Jurkat	1	0.4896809160709381	2372
EHMT2	1789	1717	jurkat	Jurkat	1	0.4896809160709381	2372
ZC3H3	1907	237	jurkat	Jurkat	1	0.4896809160709381	2372
C17orf58	367	1416	jurkat	Jurkat	1	0.4896809160709381	2372
CNOT9	30	121	jurkat	Jurkat	1	0.4896809160709381	2372
RPL37A	32	27	jurkat	Jurkat	1	0.4896809160709381	2372
C1orf131	443	99	jurkat	Jurkat	1	0.4896809160709381	2372
ORC1	394	436	jurkat	Jurkat	1	0.4896809160709381	2372
ARIH1	1573	727	jurkat	Jurkat	1	0.4896809160709381	2372
GABPB1	1475	4	jurkat	Jurkat	1	0.4896809160709381	2372
PPRC1	1	2	jurkat	Jurkat	1	0.4896809160709381	2372
SRBD1	173	41	jurkat	Jurkat	1	0.4896809160709381	2372
NCAPG	117	11	jurkat	Jurkat	1	0.4896809160709381	2372
VARS2	126	110	jurkat	Jurkat	1	0.4896809160709381	2372
RAC1	94	171	jurkat	Jurkat	1	0.4896809160709381	2372
WDR3	18	28	jurkat	Jurkat	1	0.4896809160709381	2372
TSEN34	1958	2059	jurkat	Jurkat	1	0.4896809160709381	2372
CPNE7	881	1064	jurkat	Jurkat	1	0.4896809160709381	2372
PRORP	81	15	jurkat	Jurkat	1	0.4896809160709381	2372
MRPL28	27	59	jurkat	Jurkat	1	0.4896809160709381	2372
SUDS3	407	1240	jurkat	Jurkat	1	0.4896809160709381	2372
STAT5B	794	679	jurkat	Jurkat	1	0.4896809160709381	2372
CACTIN	238	6	jurkat	Jurkat	1	0.4896809160709381	2372
MPHOSPH10	23	26	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF687	1129	133	jurkat	Jurkat	1	0.4896809160709381	2372
MRPL38	307	75	jurkat	Jurkat	1	0.4896809160709381	2372
POLR1B	263	5	jurkat	Jurkat	1	0.4896809160709381	2372
EXOSC7	22	18	jurkat	Jurkat	1	0.4896809160709381	2372
SYNGR3	1414	1504	jurkat	Jurkat	1	0.4896809160709381	2372
CCT7	716	253	jurkat	Jurkat	1	0.4896809160709381	2372
PPWD1	194	152	jurkat	Jurkat	1	0.4896809160709381	2372
PTCD1	1971	1898	jurkat	Jurkat	1	0.4896809160709381	2372
ARPC4	246	8	jurkat	Jurkat	1	0.4896809160709381	2372
PPY	1276	815	jurkat	Jurkat	1	0.4896809160709381	2372
CDK9	35	238	jurkat	Jurkat	1	0.4896809160709381	2372
HNRNPU	1240	677	jurkat	Jurkat	1	0.4896809160709381	2372
NAGLU	1753	1045	jurkat	Jurkat	1	0.4896809160709381	2372
ABCB10	185	40	jurkat	Jurkat	1	0.4896809160709381	2372
MRPS26	5	9	jurkat	Jurkat	1	0.4896809160709381	2372
NDUFA8	335	24	jurkat	Jurkat	1	0.4896809160709381	2372
MBIP	574	52	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF674	1534	746	jurkat	Jurkat	1	0.4896809160709381	2372
CTCF	308	238	jurkat	Jurkat	1	0.4896809160709381	2372
FNTA	813	445	jurkat	Jurkat	1	0.4896809160709381	2372
TRAPPC3	2372	2368	jurkat	Jurkat	1	0.4896809160709381	2372
SMC4	236	33	jurkat	Jurkat	1	0.4896809160709381	2372
EIF2S1	36	16	jurkat	Jurkat	1	0.4896809160709381	2372
WDR7	1402	742	jurkat	Jurkat	1	0.4896809160709381	2372
MRPS17	53	12	jurkat	Jurkat	1	0.4896809160709381	2372
AURKAIP1	485	379	jurkat	Jurkat	1	0.4896809160709381	2372
ACTR3	1618	1735	jurkat	Jurkat	1	0.4896809160709381	2372
ETV4	453	179	jurkat	Jurkat	1	0.4896809160709381	2372
RPL15	26	30	jurkat	Jurkat	1	0.4896809160709381	2372
CCT3	1585	1683	jurkat	Jurkat	1	0.4896809160709381	2372
RPS8	126	54	jurkat	Jurkat	1	0.4896809160709381	2372
VPS37A	1521	1846	jurkat	Jurkat	1	0.4896809160709381	2372
KRT10	1956	1059	jurkat	Jurkat	1	0.4896809160709381	2372
C9orf78	644	567	jurkat	Jurkat	1	0.4896809160709381	2372
ORC4	698	60	jurkat	Jurkat	1	0.4896809160709381	2372
BORA	388	495	jurkat	Jurkat	1	0.4896809160709381	2372
HSPA8	1957	1772	jurkat	Jurkat	1	0.4896809160709381	2372
WBP1	1225	1246	jurkat	Jurkat	1	0.4896809160709381	2372
ZNF720	1489	1084	jurkat	Jurkat	1	0.4896809160709381	2372
SEC61A1	1349	11	jurkat	Jurkat	1	0.4896809160709381	2372
MRPS18C	1199	247	jurkat	Jurkat	1	0.4896809160709381	2372
SS18L2	630	919	jurkat	Jurkat	1	0.4896809160709381	2372
PSMC2	1449	1162	jurkat	Jurkat	1	0.4896809160709381	2372
PRPF19	1036	12	jurkat	Jurkat	1	0.4896809160709381	2372
TCOF1	114	757	jurkat	Jurkat	1	0.4896809160709381	2372
DBR1	726	1020	jurkat	Jurkat	1	0.4896809160709381	2372
GTF2F2	3	6	jurkat	Jurkat	1	0.4896809160709381	2372
CDK12	2057	1923	jurkat	Jurkat	1	0.4896809160709381	2372
NCAPD3	842	1015	jurkat	Jurkat	1	0.4896809160709381	2372
MCEE	4	45	jurkat	Jurkat	1	0.4896809160709381	2372
GRSF1	2075	1837	jurkat	Jurkat	1	0.4896809160709381	2372
CNIH4	215	159	jurkat	Jurkat	1	0.4896809160709381	2372
OR7A17	1290	887	jurkat	Jurkat	1	0.4896809160709381	2372
HYOU1	1	6	jurkat	Jurkat	1	0.4896809160709381	2372
RFC2	27	20	jurkat	Jurkat	1	0.4896809160709381	2372
ABT1	92	18	jurkat	Jurkat	1	0.4896809160709381	2372
MRPL22	34	24	jurkat	Jurkat	1	0.4896809160709381	2372
GART	18	84	jurkat	Jurkat	1	0.4896809160709381	2372
GTF3C1	1302	75	jurkat	Jurkat	1	0.4896809160709381	2372
EIF2B5	4	3	jurkat	Jurkat	1	0.4896809160709381	2372
WDR55	44	28	jurkat	Jurkat	1	0.4896809160709381	2372
KPNA6	765	729	jurkat	Jurkat	1	0.4896809160709381	2372
PLA2G10	912	156	jurkat	Jurkat	1	0.4896809160709381	2372
C1orf109	763	543	jurkat	Jurkat	1	0.4896809160709381	2372
UNC50	669	764	jurkat	Jurkat	1	0.4896809160709381	2372
DNAAF3	1005	819	jurkat	Jurkat	1	0.4896809160709381	2372
RNF20	1429	803	jurkat	Jurkat	1	0.4896809160709381	2372
EFTUD2	1601	654	jurkat	Jurkat	1	0.4896809160709381	2372
MYCBP	1030	651	jurkat	Jurkat	1	0.4896809160709381	2372
COQ5	617	28	jurkat	Jurkat	1	0.4896809160709381	2372
NANOG	257	216	jurkat	Jurkat	1	0.4896809160709381	2372
OGFOD1	972	6	jurkat	Jurkat	1	0.4896809160709381	2372
GSDMA	538	244	jurkat	Jurkat	1	0.4896809160709381	2372
COG8	599	227	jurkat	Jurkat	1	0.4896809160709381	2372
REV3L	1092	927	jurkat	Jurkat	1	0.4896809160709381	2372
INO80	24	191	jurkat	Jurkat	1	0.4896809160709381	2372
