true_ko	rank_pearson	rank_revpert	cell	cell_line	seed	alpha_star	n_catalog
HOXA3	517	209	hepg2	HepG2	1	0.43850818276405334	2372
RPL38	23	25	hepg2	HepG2	1	0.43850818276405334	2372
C17orf58	1174	1051	hepg2	HepG2	1	0.43850818276405334	2372
USP10	173	236	hepg2	HepG2	1	0.43850818276405334	2372
ATP6V0D1	782	756	hepg2	HepG2	1	0.43850818276405334	2372
ADAM10	106	177	hepg2	HepG2	1	0.43850818276405334	2372
SMC6	2028	2047	hepg2	HepG2	1	0.43850818276405334	2372
SRRM1	1178	1500	hepg2	HepG2	1	0.43850818276405334	2372
SMC4	2076	2122	hepg2	HepG2	1	0.43850818276405334	2372
GNL3L	367	174	hepg2	HepG2	1	0.43850818276405334	2372
POLR3D	519	49	hepg2	HepG2	1	0.43850818276405334	2372
GNPAT	351	122	hepg2	HepG2	1	0.43850818276405334	2372
EXOSC6	288	16	hepg2	HepG2	1	0.43850818276405334	2372
COG6	2022	1884	hepg2	HepG2	1	0.43850818276405334	2372
TRNP1	1482	473	hepg2	HepG2	1	0.43850818276405334	2372
SMAGP	514	300	hepg2	HepG2	1	0.43850818276405334	2372
ZNHIT6	600	107	hepg2	HepG2	1	0.43850818276405334	2372
REV3L	1580	963	hepg2	HepG2	1	0.43850818276405334	2372
NUMA1	1022	466	hepg2	HepG2	1	0.43850818276405334	2372
SNRNP25	616	638	hepg2	HepG2	1	0.43850818276405334	2372
SRPRB	262	54	hepg2	HepG2	1	0.43850818276405334	2372
MAT2A	1914	1723	hepg2	HepG2	1	0.43850818276405334	2372
SMC1A	42	4	hepg2	HepG2	1	0.43850818276405334	2372
VARS2	302	48	hepg2	HepG2	1	0.43850818276405334	2372
GRPEL1	4	2	hepg2	HepG2	1	0.43850818276405334	2372
PGS1	784	1268	hepg2	HepG2	1	0.43850818276405334	2372
PC	1000	518	hepg2	HepG2	1	0.43850818276405334	2372
PRPF19	57	10	hepg2	HepG2	1	0.43850818276405334	2372
MYB	1404	1341	hepg2	HepG2	1	0.43850818276405334	2372
SEC61G	1129	291	hepg2	HepG2	1	0.43850818276405334	2372
FAF2	1880	1929	hepg2	HepG2	1	0.43850818276405334	2372
CCND1	641	434	hepg2	HepG2	1	0.43850818276405334	2372
RPS15A	43	24	hepg2	HepG2	1	0.43850818276405334	2372
RARS	37	29	hepg2	HepG2	1	0.43850818276405334	2372
MRM1	801	60	hepg2	HepG2	1	0.43850818276405334	2372
RPSA	6	29	hepg2	HepG2	1	0.43850818276405334	2372
UBE2H	2093	2137	hepg2	HepG2	1	0.43850818276405334	2372
HIST1H2BN	1545	1193	hepg2	HepG2	1	0.43850818276405334	2372
LSM3	138	197	hepg2	HepG2	1	0.43850818276405334	2372
DDN	1312	526	hepg2	HepG2	1	0.43850818276405334	2372
MRPL39	20	22	hepg2	HepG2	1	0.43850818276405334	2372
UBR5	2174	2119	hepg2	HepG2	1	0.43850818276405334	2372
ACTR3	533	664	hepg2	HepG2	1	0.43850818276405334	2372
VARS	184	21	hepg2	HepG2	1	0.43850818276405334	2372
HSPA14	285	308	hepg2	HepG2	1	0.43850818276405334	2372
ORC5	134	354	hepg2	HepG2	1	0.43850818276405334	2372
CBLN1	1665	1275	hepg2	HepG2	1	0.43850818276405334	2372
HECTD1	180	20	hepg2	HepG2	1	0.43850818276405334	2372
ITGB1BP1	1569	203	hepg2	HepG2	1	0.43850818276405334	2372
TSEN34	1558	1567	hepg2	HepG2	1	0.43850818276405334	2372
PRPF3	10	20	hepg2	HepG2	1	0.43850818276405334	2372
COPS4	538	16	hepg2	HepG2	1	0.43850818276405334	2372
COX10	547	86	hepg2	HepG2	1	0.43850818276405334	2372
MRPS10	3	8	hepg2	HepG2	1	0.43850818276405334	2372
TARS	196	25	hepg2	HepG2	1	0.43850818276405334	2372
OR1D2	1336	1388	hepg2	HepG2	1	0.43850818276405334	2372
DRAP1	2296	1949	hepg2	HepG2	1	0.43850818276405334	2372
INO80	789	146	hepg2	HepG2	1	0.43850818276405334	2372
UBC	1581	1609	hepg2	HepG2	1	0.43850818276405334	2372
MRPL14	5	19	hepg2	HepG2	1	0.43850818276405334	2372
MRPS21	33	13	hepg2	HepG2	1	0.43850818276405334	2372
MRPS16	654	2	hepg2	HepG2	1	0.43850818276405334	2372
RAD9A	498	635	hepg2	HepG2	1	0.43850818276405334	2372
BOP1	9	52	hepg2	HepG2	1	0.43850818276405334	2372
MST1	1394	1183	hepg2	HepG2	1	0.43850818276405334	2372
INTS1	77	15	hepg2	HepG2	1	0.43850818276405334	2372
UFL1	138	31	hepg2	HepG2	1	0.43850818276405334	2372
PSMD4	320	12	hepg2	HepG2	1	0.43850818276405334	2372
FASN	1999	1900	hepg2	HepG2	1	0.43850818276405334	2372
XRN1	189	1	hepg2	HepG2	1	0.43850818276405334	2372
PRPF18	737	23	hepg2	HepG2	1	0.43850818276405334	2372
BRIP1	1579	1123	hepg2	HepG2	1	0.43850818276405334	2372
PRORP	127	3	hepg2	HepG2	1	0.43850818276405334	2372
HNRNPA1	1718	354	hepg2	HepG2	1	0.43850818276405334	2372
RMI1	812	558	hepg2	HepG2	1	0.43850818276405334	2372
ZNF706	1171	788	hepg2	HepG2	1	0.43850818276405334	2372
YBX1	1971	2005	hepg2	HepG2	1	0.43850818276405334	2372
MAU2	62	268	hepg2	HepG2	1	0.43850818276405334	2372
BUD13	74	7	hepg2	HepG2	1	0.43850818276405334	2372
FRG2	1477	1531	hepg2	HepG2	1	0.43850818276405334	2372
CDK7	938	180	hepg2	HepG2	1	0.43850818276405334	2372
VPS33A	207	135	hepg2	HepG2	1	0.43850818276405334	2372
ZNF100	684	266	hepg2	HepG2	1	0.43850818276405334	2372
U2SURP	30	9	hepg2	HepG2	1	0.43850818276405334	2372
SUDS3	1249	713	hepg2	HepG2	1	0.43850818276405334	2372
RPS3A	28	8	hepg2	HepG2	1	0.43850818276405334	2372
GPKOW	236	100	hepg2	HepG2	1	0.43850818276405334	2372
EIF4B	23	260	hepg2	HepG2	1	0.43850818276405334	2372
GART	497	130	hepg2	HepG2	1	0.43850818276405334	2372
MED16	2239	1858	hepg2	HepG2	1	0.43850818276405334	2372
COQ2	1016	600	hepg2	HepG2	1	0.43850818276405334	2372
ACSS2	58	3	hepg2	HepG2	1	0.43850818276405334	2372
PPRC1	1	2	hepg2	HepG2	1	0.43850818276405334	2372
OR2T29	571	211	hepg2	HepG2	1	0.43850818276405334	2372
CTBP2	382	802	hepg2	HepG2	1	0.43850818276405334	2372
CTCF	498	24	hepg2	HepG2	1	0.43850818276405334	2372
POLR2B	20	5	hepg2	HepG2	1	0.43850818276405334	2372
FNBP4	986	734	hepg2	HepG2	1	0.43850818276405334	2372
PALB2	496	60	hepg2	HepG2	1	0.43850818276405334	2372
SNAPC2	225	13	hepg2	HepG2	1	0.43850818276405334	2372
SKP1	2026	2020	hepg2	HepG2	1	0.43850818276405334	2372
TXN	1322	1812	hepg2	HepG2	1	0.43850818276405334	2372
SPCS3	240	1147	hepg2	HepG2	1	0.43850818276405334	2372
PRPF38A	544	180	hepg2	HepG2	1	0.43850818276405334	2372
FAM72D	1709	1626	hepg2	HepG2	1	0.43850818276405334	2372
LAMTOR3	1684	927	hepg2	HepG2	1	0.43850818276405334	2372
CACTIN	131	12	hepg2	HepG2	1	0.43850818276405334	2372
USP19	1603	996	hepg2	HepG2	1	0.43850818276405334	2372
CNOT11	1990	2054	hepg2	HepG2	1	0.43850818276405334	2372
WDR55	1235	463	hepg2	HepG2	1	0.43850818276405334	2372
ZNF506	869	941	hepg2	HepG2	1	0.43850818276405334	2372
USP9X	1986	1905	hepg2	HepG2	1	0.43850818276405334	2372
PPY	643	606	hepg2	HepG2	1	0.43850818276405334	2372
ZNF559	44	68	hepg2	HepG2	1	0.43850818276405334	2372
PPIL1	452	1114	hepg2	HepG2	1	0.43850818276405334	2372
GABPA	1181	1180	hepg2	HepG2	1	0.43850818276405334	2372
N6AMT1	60	299	hepg2	HepG2	1	0.43850818276405334	2372
NEDD1	2328	2224	hepg2	HepG2	1	0.43850818276405334	2372
TTC4	2267	2256	hepg2	HepG2	1	0.43850818276405334	2372
POLR3E	1801	1097	hepg2	HepG2	1	0.43850818276405334	2372
KEAP1	185	6	hepg2	HepG2	1	0.43850818276405334	2372
BRD8	61	865	hepg2	HepG2	1	0.43850818276405334	2372
RABGGTB	854	20	hepg2	HepG2	1	0.43850818276405334	2372
MRPL20	3	63	hepg2	HepG2	1	0.43850818276405334	2372
CCND3	570	350	hepg2	HepG2	1	0.43850818276405334	2372
TLN1	1003	103	hepg2	HepG2	1	0.43850818276405334	2372
WARS	294	55	hepg2	HepG2	1	0.43850818276405334	2372
